,rank,name,opus,versions,duration,composer_name,composer_life
67,15,Sonata for organ no. 4 in B flat major,65:4,1,3m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
68,16,"Psalm 22 ""Mein Gott, warum hast du""",78:3,1,4m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
69,17,"Songs without Words, Vol. V",62,4,6m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
70,18,String Quartet #1 in E Flat Major,12,1,24m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
71,19,Variations sérieuses in D minor,54,2,13m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
72,20,Piano Trio no. 2 in C minor,66,1,30m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
73,1,6 soirées á Saint-Petersburg,44,1,4m,Anton Rubinstein,28 nov 1829 (Ofatinţi) -  20 nov 1894 (Peterhof)
74,1,Die Walküre (Ride of the Valkyries),86B,4,212m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
75,2,Lohengrin (contains wedding march),75,11,217m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
76,3,Tristan und Isolde,90,2,227m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
77,4,Das Rheingold,86A,4,151m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
78,5,Parsifal,111,5,272m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
79,6,Die Meistersinger von Nürnberg,96,5,265m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
80,7,Tannhäuser und der Sängerkrieg auf Wartburg,70,8,183m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
81,8,Das Liebesmahl der Apostel,69,1,11m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
82,9,Der fliegende Holländer,63,4,141m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
83,10,Siegfried,86C,2,232m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
84,11,Götterdämmerung,86D,2,227m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
85,12,Albumblatt für Frau Betty Schott,108,1,5m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
86,13,Wesendonck-Lieder,91,1,20m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
87,14,Siegfried-Idyll,103,2,18m,Richard Wagner,22 may 1813 (Leipzig) -  13 feb 1883 (Venice)
88,1,Myrthen (song cycle),25,8,7m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
89,2,Frauenliebe und -leben,42,3,21m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
90,3,Kinderszenen (Scenes from childhood),15,14,22m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
91,4,Dichterliebe,48,5,27m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
92,5,Piano Concerto in A minor,54,6,34m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
93,6,Liederkreis op. 39,39,5,27m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
94,7,Fantasiestücke op. 73,73,6,19m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
95,8,"Symphony No. 3 in E flat ""Rhenish""",97,2,35m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
96,9,"Symphony No. 1 in B flat ""Spring""",38,1,31m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
97,10,Symphony No. 4 in D minor,120,2,31m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
98,11,Violin Sonata No. 1 in A Minor,105,1,17m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
99,12,Fantasiestücke op. 12,12,12,26m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
100,13,Cello Concerto in A minor,129,1,23m,Robert Schumann,8 jun 1810 (Zwickau) -  29 jul 1856 (Endenich)
