,rank,name,opus,versions,duration,composer_name,composer_life
105,18,String Sextet No. 1,18,4,45m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
106,19,Piano Quartet No. 1 in G minor,25,1,40m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
107,20,Clarinet Trio in A minor,114,6,25m,Johannes Brahms,7 may 1833(Hamburg) -  3 apr 1897(Vienna)
108,1,Violin Concerto in E minor,64,2,24m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
109,2,A Midsummer Night's Dream (contains Wedding March),61,1,44m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
110,3,"Symphony no. 4 ""Italian""",90,3,51m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
111,4,"Songs without Words, Vol. I",19,7,17m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
112,5,"Symphony no. 3 ""Scottish""",56,1,32m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
113,6,Elias,70,4,397m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
114,7,"Symphony no. 5 ""Reformation""",107,1,31m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
115,8,"3 English Church Pieces: (solo voices, chorus",69,2,5m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
116,9,Rondo capriccioso in E Major,14,2,7m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
117,10,Paulus,36,2,120m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
118,11,Octet in E Flat Major for strings,20,2,32m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
119,12,"Fantasy in F Sharp minor, ""Sonate écossaise""",28,2,17m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
120,13,"Songs without Words, Vol. II",30,6,18m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
121,14,4 pieces for string quartet,81,1,10m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
122,15,Sonata for organ no. 4 in B flat major,65:4,1,3m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
123,16,"Psalm 22 ""Mein Gott, warum hast du""",78:3,1,4m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
124,17,"Songs without Words, Vol. V",62,4,6m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
125,18,String Quartet #1 in E Flat Major,12,1,24m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
126,19,Variations sérieuses in D minor,54,2,13m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
127,20,Piano Trio no. 2 in C minor,66,1,30m,Felix Mendelssohn-Bartholdy,3 feb 1809 (Hamburg) -  4 nov 1847 (Berlin)
128,1,6 soirées á Saint-Petersburg,44,1,4m,Anton Rubinstein,28 nov 1829 (Ofatinţi) -  20 nov 1894 (Peterhof)
129,2,Die Maccabäer,,1,5m,Anton Rubinstein,28 nov 1829 (Ofatinţi) -  20 nov 1894 (Peterhof)
130,1,Swan Lake (suite),20a,1,3m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
131,2,Piano Concerto no. 1,23,3,34m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
132,3,The Nutcracker - suite,71a,4,46m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
133,4,The Nutcracker,71,1,85m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
134,5,"Symphony No.6 ""Pathétique""",74,2,45m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
135,6,1812,49,5,17m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
136,7,Romeo and Juliet Overture,,2,19m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
137,8,Violin Concerto,35,4,33m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
138,9,Symphony No.4,36,6,40m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
139,10,The Seasons,37a,7,46m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
140,11,The Sleeping Beauty,66,1,5m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
141,12,Symphony No.5,64,2,44m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
142,13,Piano Trio in A minor op. 50,50,2,41m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
143,14,Eugene Onegin,24,4,132m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
144,15,Piano Concerto No. 2,44,3,33m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
145,16,Souvenir d'un lieu cher,42,3,11m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
146,17,Children's Album,39,2,28m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
147,18,Symphony Manfred,58,1,47m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
148,19,Concert Fantasia,56,2,30m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
149,20,Pique dame,68,2,163m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
150,1,12 Etudes Op. 10,10,28,29m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
151,2,Nocturnes Op.  9 (pour Madame Pleyel),9,17,9m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
152,3,Fantasie Impromptu,66,5,6m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
153,4,2 Nocturnes Op. 27,27,7,12m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
154,5,Nocturne no. 20 in C sharp minor Posth,,5,7m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
155,6,Piano Concerto No. 1,11,4,36m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
156,7,Nocturne no. 19 in E minor,72:1,1,5m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
157,8,12 Etudes Op. 25,25,33,32m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
158,9,Ballade No.1,23,10,11m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
159,10,Waltzes for piano op 64,64,11,6m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
160,11,Preludes,28,32,40m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
161,12,Piano Concerto No. 2,21,3,31m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
162,13,Nocturne no. 21 in C minor Posth.,,1,4m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
163,14,Piano Sonata No.2 in B flat minor,35,7,30m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
164,15,Polonaise No. 6 A flat Major 'Heroic',53,4,7m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
165,16,2 Waltzes Op. 69,69,7,9m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
166,17,Waltz no. 19 in A minor,,3,2m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
167,18,2 Nocturnes Op. 37,37,2,7m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
168,19,"Waltz no.  5 in A flat major ""Grande Valse""",42,2,4m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
169,20,Nocturnes Op. 55,55,9,9m,Frédéric Chopin,"1 mar 1810, Zelazowa Wola (Pl) -  17 oct 1849, Paris (Fr)"
